"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
2.0,1.0,0.0,0.9121721386909485,"Lazard adversaries edge closer to a deal Bruce Wasserstein, head of Lazard, could reach an agreement as early as this week with Michel David-Weill, the chairman, extending the deadline for ",0.0,0.9121721386909485,"Lazard adversaries edge closer to a deal Bruce Wasserstein, head of Lazard, could reach an agreement as early as this week with Michel David-Weill, the chairman, extending the deadline for ","Skipped"
3.0,531.0,3.0,0.006145298480987549,"European spacecraft prepares to [[orbit]] [[Moon]] [[Europes]] [[first]] lunar spacecraft is [[set]] to [[go]] into [[orbit]] [[around]] the Moon on [[Monday]]. SMART-1 has already [[reached]] the gateway to the [[Moon]], the [[region]] where its [[gravity]] [[starts]] to [[dominate]] that of the Earth.",3.0,0.38530516624450684,"European spacecraft prepares to [[compass]] [[lunation]] [[Europe]] [[get-go]] lunar spacecraft is [[put]] to [[cristal]] into [[arena]] [[roughly]] the Moon on [[Mon]]. SMART-1 has already [[strain]] the gateway to the [[daydream]], the [[part]] where its [[solemnity]] [[jump]] to [[predominate]] that of the Earth.","Failed"
2.0,504.0,2.0,0.00033676624298095703,"[[Fed]] lifts [[rates]] a further quarter [[point]] [[By]] Andrew Balls in Washington and Jennifer Hughes in New York. The US Federal [[Reserve]] on Tuesday raised interest [[rates]] by a quarter point to 2.25 per cent and signalled there had been no change in its assessment of economic [[conditions]].",1.0,0.7796340584754944,"[[course]] lifts [[grass]] a further quarter [[taper]] [[past]] Andrew Balls in Washington and Jennifer Hughes in New York. The US Federal [[hold]] on Tuesday raised interest [[grass]] by a quarter point to 2.25 per cent and signalled there had been no change in its assessment of economic [[check]].","Successful"
1.0,690.0,1.0,6.580352783203125e-05,"Pepperdine [[80]], Fairleigh Dickinson [[79]] Glen McGowan had [[22]] points and little-used [[reserve]] [[Chase]] Griffin came off the bench to [[make]] two [[clutch]] [[free]] throws to [[help]] Pepperdine [[hold]] off Fairleigh Dickinson 80-79 Friday for fifth [[place]] in the BCA Invitational.",1.0,0.00021797418594360352,"Pepperdine [[fourscore]], Fairleigh Dickinson [[seventy-nine]] Glen McGowan had [[XXII]] points and little-used [[second-stringer]] [[tail]] Griffin came off the bench to [[hit]] two [[batch]] [[innocent]] throws to [[assistant]] Pepperdine [[nurse]] off Fairleigh Dickinson 80-79 Friday for fifth [[send]] in the BCA Invitational.","Failed"
0.0,230.0,0.0,0.0014204978942871094,"Indian-Americans [[hail]] Manmohan [[speech]] New York, Sep 27 (UNI) Members of the Indian-American community who attended a public [[meeting]] addressed by [[Prime]] Minister Manmohan Singh welcomed his speech and expressed confidence that India would soon be a developed economy.",2.0,0.6316084265708923,"Indian-Americans [[come]] Manmohan [[delivery]] New York, Sep 27 (UNI) Members of the Indian-American community who attended a public [[merging]] addressed by [[quality]] Minister Manmohan Singh welcomed his speech and expressed confidence that India would soon be a developed economy.","Successful"
3.0,327.0,3.0,0.052827656269073486,"Unisys to lay off 1,400 workers Unisys Corp. plans to cut 1,400 jobs, primarily in general and administrative areas, and consolidate its office space worldwide, it announced Wednesday. The [[cuts]] represent 3.8 percent of the company's staff of 37,000.",2.0,0.8029407262802124,"Unisys to lay off 1,400 workers Unisys Corp. plans to cut 1,400 jobs, primarily in general and administrative areas, and consolidate its office space worldwide, it announced Wednesday. The [[skip]] represent 3.8 percent of the company's staff of 37,000.","Successful"
2.0,318.0,2.0,0.00025767087936401367,"Dollar [[Mired]] Near [[Lows]] [[Before]] [[Jobs]] Data  LONDON (Reuters) - The dollar teetered just above nine-year  [[lows]] on a trade-weighted [[basis]] on Friday as investors [[waited]]  for [[key]] [[U]].S. [[jobs]] [[data]] before deciding whether to [[extend]] the  greenback's recent [[decline]].",0.0,0.967054545879364,"Dollar [[involved]] Near [[Low]] [[earlier]] [[occupation]] Data  LONDON (Reuters) - The dollar teetered just above nine-year  [[Low]] on a trade-weighted [[ground]] on Friday as investors [[expect]]  for [[samara]] [[uranium]].S. [[task]] [[datum]] before deciding whether to [[offer]] the  greenback's recent [[refuse]].","Successful"
0.0,503.0,0.0,0.0002601742744445801,"[[Keep]] [[quiet]] on [[U]].[[S]]. election, Martin [[tells]] loose-lipped [[cabinet]] (Canadian [[Press]]) Canadian [[Press]] - OTTAWA (CP) - [[Prime]] Minister Paul Martin served [[notice]] to his [[Liberal]] cabinet [[Thursday]] to [[clam]] up with their personal [[opinions]] on the U.[[S]]. presidential election.",1.0,0.8268561363220215,"[[sustain]] [[calm]] on [[uracil]].[[siemens]]. election, Martin [[state]] loose-lipped [[locker]] (Canadian [[weightlift]]) Canadian [[weightlift]] - OTTAWA (CP) - [[quality]] Minister Paul Martin served [[notification]] to his [[giving]] cabinet [[Th]] to [[buck]] up with their personal [[ruling]] on the U.[[siemens]]. presidential election.","Successful"
3.0,440.0,3.0,0.00040835142135620117,"Hobbit-sized [[Humans]] Called [[Homo]] floresiensis [[Discovered]] by &lt;[[b]]&gt;...&lt;/b&gt; [[Long]] live the real Bilbo Baggins, the [[first]] Little [[People]] of the [[World]], [[Homo]] floresiensis and [[Homo]] sapien archeologists Michael Morwood, [[Peter]] [[Brown]] and [[Professor]] Soejono!",3.0,0.0032688379287719727,"Hobbit-sized [[human]] Called [[homosexual]] floresiensis [[reveal]] by &lt;[[barn]]&gt;...&lt;/b&gt; [[recollective]] live the real Bilbo Baggins, the [[commencement]] Little [[multitude]] of the [[reality]], [[human]] floresiensis and [[human]] sapien archeologists Michael Morwood, [[pecker]] [[brownish]] and [[prof]] Soejono!","Failed"
3.0,379.0,3.0,0.00028949975967407227,"[[Briefly]]: MSN Messenger beta [[leaks]] onto [[Web]] roundup Plus: [[Level]] [[3]] to [[buy]] Sprint's dial-up [[business]]...Cisco CEO's salary [[shoots]] up from \$[[1]]...SanDisk ups capacity on [[flash]] [[memory]] [[cards]].",3.0,0.001217186450958252,"[[concisely]]: MSN Messenger beta [[leak]] onto [[vane]] roundup Plus: [[storey]] [[troika]] to [[bribe]] Sprint's dial-up [[occupation]]...Cisco CEO's salary [[fool]] up from \$[[ane]]...SanDisk ups capacity on [[gaudy]] [[retentiveness]] [[wit]].","Failed"
