"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,715.0,0.0,0.00014972686767578125,"Asked and was [[confirmed]] for a female masseur and was given a male masseur who I didn't want to offend by [[declining]] the massage. \n\nHe [[massaged]] with a very soft grip and pressure which was very awkward because his hand skin was very dry and hard.\n\nAbout the facilities: Outside light penetrating in the room. Some showers had all he lotions necessary, some didn't even have the [[bare]] minimum like shampoo and [[conditioner]]. The [[gym]] was [[very]] [[basic]] and while I could [[use]] it while [[waiting]] for my [[friends]] who were forgotten about,  it wasn't properly equipped for free-weight training.\n\nThis [[place]] [[sucks]] if you [[want]] to [[relax]]. I [[had]] a coupon for a special [[deal]] but it [[still]] wasn't worth it.",1.0,0.9618335962295532,"Asked and was [[highlighting]] for a female masseur and was given a male masseur who I didn't want to offend by [[narrowing]] the massage. \n\nHe [[tugged]] with a very soft grip and pressure which was very awkward because his hand skin was very dry and hard.\n\nAbout the facilities: Outside light penetrating in the room. Some showers had all he lotions necessary, some didn't even have the [[barefoot]] minimum like shampoo and [[packer]]. The [[kickboxing]] was [[immensely]] [[elemental]] and while I could [[employ]] it while [[amal]] for my [[homeboys]] who were forgotten about,  it wasn't properly equipped for free-weight training.\n\nThis [[situ]] [[blows]] if you [[desirous]] to [[peaceful]]. I [[possesses]] a coupon for a special [[confronting]] but it [[once]] wasn't worth it.","Successful"
0.0,1216.0,0.0,0.00015175342559814453,"Don't order from Domino's Pizza in North Las Vegas. They charged my credit [[card]], then messed up the [[order]]. They [[said]] I would not [[get]] a refund on my credit [[card]] for three business days. [[Just]] a [[few]] seconds of their [[mistake]] and suddenly I am responsible for the charges for three business [[days]]. This is a management [[problem]]. [[I]] [[hope]] someone in Domino's corporate [[manager]] [[reads]] this. This is poor customer [[service]]. I will never again order from any Domino's Pizza as a result of what [[happened]] [[tonight]] as I [[wait]] for three days for my refund.",0.0,0.0001558065414428711,"Don't order from Domino's Pizza in North Las Vegas. They charged my credit [[chart]], then messed up the [[ordinance]]. They [[assert]] I would not [[receive]] a refund on my credit [[letter]] for three business days. [[Jen]] a [[modest]] seconds of their [[misunderstanding]] and suddenly I am responsible for the charges for three business [[weeks]]. This is a management [[topic]]. [[me]] [[volition]] someone in Domino's corporate [[direktor]] [[reading]] this. This is poor customer [[serving]]. I will never again order from any Domino's Pizza as a result of what [[dawned]] [[weekend]] as I [[waiting]] for three days for my refund.","Failed"
0.0,104.0,0.0,0.0018494725227355957,"Considering that Gourmet magazine said it was the best Thai restaurant in North America, AND that Frommers highly recommended it, I expected a lot more. My boyfriend and I both had the wonton soup (excellent) and the chicken with cashew nuts. Personally, I've had much [[better]] at other Thai restaurants. \n\nIt's a run-down little place, but obviously plenty of people know about it. Autographed pictures with celebrities adorn the walls. Service is okay, but nothing exceptional. It was often hard to track down our server.",1.0,0.5660760402679443,"Considering that Gourmet magazine said it was the best Thai restaurant in North America, AND that Frommers highly recommended it, I expected a lot more. My boyfriend and I both had the wonton soup (excellent) and the chicken with cashew nuts. Personally, I've had much [[best]] at other Thai restaurants. \n\nIt's a run-down little place, but obviously plenty of people know about it. Autographed pictures with celebrities adorn the walls. Service is okay, but nothing exceptional. It was often hard to track down our server.","Successful"
1.0,232.0,1.0,0.005429565906524658,"I wish I could have given this place a 5...I really do.  The food was excellent.  My friend had the chicken mole and I had the chicken enchiladas...delicious!  The service was great...until the storm hit.  All of a sudden there was crazy wind and rain, and I guess their computers went down.  We waited for over 30 minutes in order to get our check.  Our poor server tried his best to keep us happy, but he was a bit frazzled himself.  After finding out it was only his 3rd day on the job, I was much more impressed with how he handled things.  If it wasn't for that crazyness, and no manager addressing our table when it all happened, there would have been 5 stars.  Good [[food]].  Job well done, [[Jason]].  [[Thank]] you for the birthday cake!",0.0,0.5573952198028564,"I wish I could have given this place a 5...I really do.  The food was excellent.  My friend had the chicken mole and I had the chicken enchiladas...delicious!  The service was great...until the storm hit.  All of a sudden there was crazy wind and rain, and I guess their computers went down.  We waited for over 30 minutes in order to get our check.  Our poor server tried his best to keep us happy, but he was a bit frazzled himself.  After finding out it was only his 3rd day on the job, I was much more impressed with how he handled things.  If it wasn't for that crazyness, and no manager addressing our table when it all happened, there would have been 5 stars.  Good [[meal]].  Job well done, [[Zach]].  [[Acknowledgment]] you for the birthday cake!","Successful"
1.0,101.0,1.0,0.00014460086822509766,"The sandwich with eggs and bacon was [[amazing]]! I think the wait was too long and next time I will order to go but I will [[definitely]] stop by again!  They should put tables outside instead of having all of the seats for waiting outside!",0.0,0.9967268109321594,"The sandwich with eggs and bacon was [[whopping]]! I think the wait was too long and next time I will order to go but I will [[assuredly]] stop by again!  They should put tables outside instead of having all of the seats for waiting outside!","Successful"
0.0,229.0,0.0,0.00015223026275634766,"[[Machines]] are very [[old]] - many out-of-order. [[Premises]] not very [[clean]].  A [[tacky]] place.  [[Will]] not [[go]] there again.",1.0,0.9638693928718567,"[[Computer]] are very [[veteran]] - many out-of-order. [[Installations]] not very [[purified]].  A [[distasteful]] place.  [[Longing]] not [[devote]] there again.","Successful"
0.0,371.0,0.0,0.00014925003051757812,"[[Meh]]. I've [[experienced]] better.\n\nMuch better does exist out there... somewhere... and cheaper too.  Unfortunately, they don't exist as close by for when I need my version of comfort food.\n\nShort answer is yes, they'll do if you got a hankering.  I went for a low risk chicken chow mein.  If they can pass this simple test, then at least I can give them another shot later on.  Decent ingredients and decent serving size, but I'd say about 25% over-priced.  Tastey noodles; therefore they'll receive a passing grade from me.  Stir fried just right and without excessive [[oil]].  When I can't take it any more, I'll [[probably]] be back.\[[n]]\nThe Asian staff was a bonus, but it looked to me that the menu had been Americanized some.  Sad what has to be comprised in order to survive.  I guess my biggest qualm is that I've been spoiled by growing up surrounded by good, cheap, authentic Chinese food.  So when an establishment can't meet all [[three]] [[criteria]], [[I]] just pine for days of ol'.  [[Maybe]] my standard isn't terribly fair, but since I know it to exist, the burden is on them.",1.0,0.5300655364990234,"[[Alittle]]. I've [[realised]] better.\n\nMuch better does exist out there... somewhere... and cheaper too.  Unfortunately, they don't exist as close by for when I need my version of comfort food.\n\nShort answer is yes, they'll do if you got a hankering.  I went for a low risk chicken chow mein.  If they can pass this simple test, then at least I can give them another shot later on.  Decent ingredients and decent serving size, but I'd say about 25% over-priced.  Tastey noodles; therefore they'll receive a passing grade from me.  Stir fried just right and without excessive [[hydrocarbon]].  When I can't take it any more, I'll [[decidedly]] be back.\[[percent]]\nThe Asian staff was a bonus, but it looked to me that the menu had been Americanized some.  Sad what has to be comprised in order to survive.  I guess my biggest qualm is that I've been spoiled by growing up surrounded by good, cheap, authentic Chinese food.  So when an establishment can't meet all [[five]] [[requirements]], [[me]] just pine for days of ol'.  [[Possible]] my standard isn't terribly fair, but since I know it to exist, the burden is on them.","Successful"
0.0,367.0,0.0,0.00015032291412353516,"[[If]] I could [[drop]] a zero-spot here, I would.\n\nThis.[[place]].is.awful.\[[nI]] [[had]] never been to one before now, and I [[absolutely]] will not [[go]] back.\n\nFor those who [[enjoy]] three [[times]] the [[amount]] of [[mayonnaise]] as meat in a sando, this is the [[place]] for you. [[Assembly]] line [[sandwich]] at it's [[worst]].",0.0,0.000277101993560791,"[[Upon]] I could [[dropping]] a zero-spot here, I would.\n\nThis.[[scene]].is.awful.\[[not]] [[been]] never been to one before now, and I [[exactly]] will not [[skip]] back.\n\nFor those who [[love]] three [[deadlines]] the [[sums]] of [[mayo]] as meat in a sando, this is the [[placement]] for you. [[Together]] line [[sandwiches]] at it's [[lamest]].","Failed"
1.0,488.0,1.0,0.00014579296112060547,"Marquee in the Cosmopolitan [[will]] [[become]] the next [[big]] [[club]] in [[Vegas]]. From the [[moment]] [[I]] [[walked]] into the lobby to being in the [[night]] [[club]]. I was in [[awe]].\n\nThis club is giant, you have take an elevator up to the 6th floor and up there were 3 levels to the club. The first floor you get off of is the main dance floor where the dj is. Lots of tables and a pretty big dance floor. A long bar and the nicest bathroom ever with lots of sitting room but they don't let you sit for very long. They make you leave after a while.\n\nIf you go downstairs, it's called the Boombox. A smaller dance area with another bar playing different music than the other floor. If you go up one level from the main floor, you're at the library. Definitely just a place for you to chill and rest up, again playing different music from the other floors and has its own bars and some pool tables. From that floor, there's a balcony that you can go on that is above the main dance floor and you could see everything. There's also an outside part to club by the pool? with an outdoor bar and cabana seating. We didn't stay out there very long because it was freezing but I bet it's really nice during the summer.\n\nThe only reason I'm giving it 4 stars is that there's not that many places to sit on the main floor. And when it gets crowded, the walk ways are almost impossible to go through without squeezing past one another.\n\nOther than those, I'll definitely be going back to this place when I get the chance especially to see Kaskade since he's made his home here for the next year! He'll be there once every month!",0.0,0.6145902872085571,"Marquee in the Cosmopolitan [[intention]] [[exists]] the next [[massive]] [[discotheque]] in [[Nevada]]. From the [[timeframe]] [[me]] [[acted]] into the lobby to being in the [[tonight]] [[nightclub]]. I was in [[dazzle]].\n\nThis club is giant, you have take an elevator up to the 6th floor and up there were 3 levels to the club. The first floor you get off of is the main dance floor where the dj is. Lots of tables and a pretty big dance floor. A long bar and the nicest bathroom ever with lots of sitting room but they don't let you sit for very long. They make you leave after a while.\n\nIf you go downstairs, it's called the Boombox. A smaller dance area with another bar playing different music than the other floor. If you go up one level from the main floor, you're at the library. Definitely just a place for you to chill and rest up, again playing different music from the other floors and has its own bars and some pool tables. From that floor, there's a balcony that you can go on that is above the main dance floor and you could see everything. There's also an outside part to club by the pool? with an outdoor bar and cabana seating. We didn't stay out there very long because it was freezing but I bet it's really nice during the summer.\n\nThe only reason I'm giving it 4 stars is that there's not that many places to sit on the main floor. And when it gets crowded, the walk ways are almost impossible to go through without squeezing past one another.\n\nOther than those, I'll definitely be going back to this place when I get the chance especially to see Kaskade since he's made his home here for the next year! He'll be there once every month!","Successful"
0.0,879.0,0.0,0.00015044212341308594,"[[Just]] [[waited]] 20 [[minutes]] for a [[muffin]] and [[ice]] [[water]]. [[Paid]] $3 plus a $1 tip and never [[got]] [[served]]. [[When]] I [[finally]] [[got]] up to [[leave]], I told the [[cashier]] I was [[leaving]] and to [[cancel]] my order. She [[said]], \""""Okay...\"""" and didn't [[make]] any [[attempt]] to [[give]] me a [[refund]] or [[apologize]]. [[Definitely]] won't be [[going]] back!",0.0,0.0001666545867919922,"[[Uniquely]] [[should]] 20 [[min]] for a [[biscuits]] and [[chocolate]] [[river]]. [[Pay]] $3 plus a $1 tip and never [[become]] [[reacted]]. [[Where]] I [[anyway]] [[was]] up to [[abandoning]], I told the [[teller]] I was [[letting]] and to [[canceled]] my order. She [[says]], \""""Okay...\"""" and didn't [[creations]] any [[endeavor]] to [[pay]] me a [[refunded]] or [[forgiven]]. [[Admittedly]] won't be [[leash]] back!","Failed"
